country,child_mort,exports,health,imports,income,inflation
Afghanistan,1.388329140312823,-1.666381716232604,0.38528622663802253,0.06826553445383708,-1.4329993560257452,0.5128564797763006
Albania,-0.4374178917362827,-0.4358329221397679,0.008374867237619717,0.24461132513724199,0.08818400287129002,-0.21375529838671914
Algeria,-0.050042358738358876,0.08735266287303937,-0.997144180888633,-0.6466840038915144,0.3069700626412102,1.2821016008263713
Angola,1.8634774944968429,1.0676777306904384,-1.6850592040024264,-0.030089145599899666,-0.34710922623720664,1.8962610287483614
Antigua and Barbuda,-0.7286146628164247,0.40440391581340707,-0.19320162571830884,0.7028768695573729,0.6351163542401824,-0.8217163212839096
Argentina,-0.527112921400216,-0.9814532006094402,0.5658264979663415,-1.6916138100987865,0.6174199362880223,1.7572462706008376
Armenia,-0.376784848411373,-0.8581866935946488,-0.8891350221084529,0.08767179725446157,-0.24079166404638272,0.2888300024385039
Australia,-1.0714969340057892,-0.9223271752491317,0.7769607272916106,-1.319110036782328,1.281936063169184,-0.8911704009928938
Austria,-1.110969441508844,0.6454209648120207,1.4806299608479374,0.20706743010208561,1.3175212010569692,-0.966517467637322
Azerbaijan,0.2987581473132907,0.7647360662593633,-0.2529502674340209,-1.3333979466967774,0.4870390225284207,1.034118811974054
Bahamas,-0.558439962428887,-0.07486933868528985,0.493634597661961,0.009522217912286579,0.7868299603702374,-1.3846745422707658
Bahrain,-0.8217983511509309,1.3240666609140446,-0.633046402262303,0.3508614445216303,1.2758551306446715,0.24245095576609568
Bangladesh,0.5571553094502044,-1.1822345577683744,-1.3196392888505302,-1.2556446675379764,-1.0853689909510635,0.19960627228875374
Barbados,-0.54044407003188,0.13828540681333287,0.5212482481577067,0.24928251753438177,0.44963424401670304,-1.1271492218161003
Belarus,-1.0195437784709014,0.6494534903087666,-0.3624511903379506,0.9352181889906283,0.497425796306784,1.1761671609060045
Belgium,-1.0949185914403454,1.5575765388268559,1.3921009093511312,1.3338360422637352,1.2758551306446715,-0.7191614436454086
Belize,-0.34935106358748524,0.9150211605872588,-0.5338994936493842,0.6430848094234438,-0.10515522608958237,-0.8962755589828862
